Transaction_ID,Customer_ID,Transaction_DateTime,Transaction_Type,Amount_NGN,Channel,Device_Type,Location,International_Transaction,Transaction_Status,Risk_Review_Flag
FT-T000001,FT-C01135,1/1/26 0:00,Card Purchase,5923.8,Mobile App,Android,Enugu,No,Reversed,Yes
FT-T000002,FT-C00428,1/1/26 0:10,Cash Withdrawal,11681.12,ATM,Android,Kaduna,No,Successful,Yes
FT-T000003,FT-C00469,1/1/26 0:21,Transfer,571.91,ATM,POS Terminal,Kano,No,Successful,No
FT-T000004,FT-C01015,1/1/26 0:32,Deposit,105367.52,Mobile App,Web Browser,Abuja,No,Successful,No
FT-T000005,FT-C00870,1/1/26 0:43,Cash Withdrawal,3049.06,Mobile App,POS Terminal,Abuja,No,Successful,No
FT-T000006,FT-C00770,1/1/26 0:54,Airtime/Data,175.89,POS,Android,Port Harcourt,No,Successful,No
FT-T000007,FT-C00680,1/1/26 1:04,Airtime/Data,18733.61,Mobile App,Android,Lagos,No,Successful,No
FT-T000008,FT-C00805,1/1/26 1:15,Card Purchase,6702.14,Web,Android,Kaduna,No,Successful,No
FT-T000009,FT-C00886,1/1/26 1:26,Airtime/Data,10503.84,POS,ATM Terminal,Ibadan,No,Successful,No
FT-T000010,FT-C00561,1/1/26 1:37,Airtime/Data,16528.85,Mobile App,ATM Terminal,Benin City,No,Successful,Yes
FT-T000011,FT-C01274,1/1/26 1:48,Cash Withdrawal,205633.39,USSD,iOS,Enugu,No,Successful,No
FT-T000012,FT-C00331,1/1/26 1:58,Card Purchase,16212.6,Web,iOS,Enugu,No,Successful,Yes
FT-T000013,FT-C00587,1/1/26 2:09,Bill Payment,717.93,Web,iOS,Enugu,No,Successful,No
FT-T000014,FT-C00201,1/1/26 2:20,Transfer,22208.35,Mobile App,POS Terminal,Kaduna,No,Successful,No
FT-T000015,FT-C00454,1/1/26 2:31,Cash Withdrawal,16664.98,POS,Android,Port Harcourt,No,Successful,Yes
FT-T000016,FT-C00826,1/1/26 2:42,Transfer,739.65,USSD,Web Browser,Kano,No,Successful,No
FT-T000017,FT-C00111,1/1/26 2:52,Cash Withdrawal,5426.18,Mobile App,Android,Abuja,No,Successful,No
FT-T000018,FT-C00864,1/1/26 3:03,Airtime/Data,1295.56,Web,Android,Port Harcourt,No,Successful,No
FT-T000019,FT-C00908,1/1/26 3:14,Transfer,1494.62,Mobile App,iOS,Ibadan,No,Failed,No
FT-T000020,FT-C01233,1/1/26 3:25,Bill Payment,523.76,Mobile App,iOS,Kano,No,Successful,No
FT-T000021,FT-C00033,1/1/26 3:36,Transfer,86152.38,Mobile App,iOS,Abuja,No,Reversed,No
FT-T000022,FT-C00555,1/1/26 3:46,Bill Payment,45562.37,POS,Android,Abuja,No,Successful,No
FT-T000023,FT-C00107,1/1/26 3:57,Bill Payment,1683.22,USSD,Web Browser,Enugu,No,Successful,No
FT-T000024,FT-C01289,1/1/26 4:08,Transfer,513.09,POS,Web Browser,Ibadan,No,Successful,Yes
FT-T000025,FT-C00226,1/1/26 4:19,Cash Withdrawal,136149.3,Web,Web Browser,Kaduna,No,Successful,No
FT-T000026,FT-C00487,1/1/26 4:30,Deposit,2405.08,POS,Android,Benin City,No,Successful,No
FT-T000027,FT-C00179,1/1/26 4:40,Card Purchase,3956.89,POS,Android,Enugu,No,Pending,No
FT-T000028,FT-C01246,1/1/26 4:51,Bill Payment,3475.92,Web,POS Terminal,Ibadan,No,Successful,No
FT-T000029,FT-C01394,1/1/26 5:02,Bill Payment,1193.82,USSD,iOS,Ibadan,No,Successful,No
FT-T000030,FT-C00637,1/1/26 5:13,Transfer,29376.61,Mobile App,iOS,Kano,No,Successful,Yes
FT-T000031,FT-C00788,1/1/26 5:24,Airtime/Data,30138.22,Mobile App,POS Terminal,Benin City,No,Successful,No
FT-T000032,FT-C00167,1/1/26 5:34,Cash Withdrawal,17056.02,Mobile App,Android,Enugu,No,Successful,No
FT-T000033,FT-C00663,1/1/26 5:45,Card Purchase,151362.75,Mobile App,ATM Terminal,Kano,No,Successful,No
FT-T000034,FT-C00300,1/1/26 5:56,Transfer,1830.44,Mobile App,iOS,Port Harcourt,No,Successful,Yes
FT-T000035,FT-C01405,1/1/26 6:07,Card Purchase,68295.03,USSD,iOS,Ibadan,No,Successful,No
FT-T000036,FT-C00035,1/1/26 6:18,Bill Payment,1950.4,ATM,Android,Unkown,No,Successful,No
FT-T000037,FT-C00407,1/1/26 6:28,Cash Withdrawal,3988.26,ATM,POS Terminal,Lagos,No,Successful,No
